"Lockstation","Lockstation"
"Customer Dashboard Links Manager","Customer Dashboard Links Manager"
"General Settings","General Settings"
"Enabled","Enabled"
"Turn the module on or off without uninstalling it.","Turn the module on or off without uninstalling it."
"Action","Action"
"Hide selected links","Hide selected links"
"Show only selected links","Show only selected links"
"Links","Links"
"Extra block names (one per line)","Extra block names (one per line)"
"Account Dashboard","Account Dashboard"
"Account Information","Account Information"
"Address Book","Address Book"
"My Orders","My Orders"
"My Downloadable Products","My Downloadable Products"
"My Product Reviews","My Product Reviews"
"My Wish List","My Wish List"
"Share My Wish List","Share My Wish List"
"Newsletter Subscriptions","Newsletter Subscriptions"
"Stored Payment Methods","Stored Payment Methods"
"Billing Agreements","Billing Agreements"
"Compare Products","Compare Products"
"Reward Points (Adobe Commerce)","Reward Points (Adobe Commerce)"
"Gift Card (Adobe Commerce)","Gift Card (Adobe Commerce)"
"Gift Registries (Adobe Commerce)","Gift Registries (Adobe Commerce)"
"My Returns / RMA (Adobe Commerce)","My Returns / RMA (Adobe Commerce)"
"Store Credit (Adobe Commerce)","Store Credit (Adobe Commerce)"
"Recurring Payments (Adobe Commerce)","Recurring Payments (Adobe Commerce)"
"Invitations (Adobe Commerce)","Invitations (Adobe Commerce)"
"Magefan Blog Comments","Magefan Blog Comments"
"Amasty Most Viewed","Amasty Most Viewed"
